Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,2,female,31-40,3,0,21-40,S
1,3,female,,0,0,0-8,Q
0,2,male,21-30,1,0,21-40,S
0,3,female,21-30,1,0,0-8,S
1,1,female,21-30,0,0,81-500,S
0,3,male,0-20,0,0,9-20,C
0,2,male,21-30,0,0,9-20,S
0,2,male,21-30,0,0,9-20,S
0,3,male,21-30,0,0,9-20,S
0,3,female,41-60,1,3,21-40,S
1,1,male,31-40,0,0,,C
0,3,male,,0,0,0-8,S
0,3,male,,0,0,0-8,S
1,1,male,,0,0,21-40,S
0,1,male,31-40,1,0,41-80,S
1,1,female,21-30,2,2,81-500,C
0,3,male,21-30,1,0,9-20,S
1,3,male,31-40,0,0,0-8,S
0,1,male,61-80,1,1,41-80,S
0,3,male,0-20,1,1,21-40,S
1,2,female,31-40,0,0,9-20,S
0,1,male,0-20,1,0,41-80,S
0,3,male,31-40,0,0,0-8,Q
1,2,female,0-20,1,1,21-40,S
1,3,male,0-20,0,1,9-20,S
0,3,male,31-40,0,0,9-20,S
0,3,male,21-30,0,0,0-8,S
1,2,female,41-60,1,2,41-80,S
1,2,male,0-20,1,1,9-20,S
0,3,male,21-30,0,0,0-8,S
0,2,male,0-20,0,0,9-20,S
0,3,male,31-40,0,0,9-20,S
1,1,female,31-40,0,0,81-500,S
0,3,male,,0,0,9-20,S
0,3,male,41-60,0,0,0-8,S
1,3,male,21-30,0,0,0-8,C
1,1,female,31-40,1,2,81-500,S
0,3,male,0-20,0,0,0-8,S
1,1,female,41-60,1,0,41-80,S
0,1,male,,0,0,21-40,C
0,3,female,31-40,0,0,0-8,Q
0,3,male,,1,0,21-40,Q
0,3,male,31-40,0,0,9-20,S
0,3,male,21-30,0,0,9-20,S
0,3,male,41-60,0,0,0-8,S
0,2,female,41-60,0,0,9-20,S
0,3,male,,0,0,0-8,C
1,2,female,41-60,1,3,21-40,S
0,3,male,0-20,0,0,0-8,S
0,3,male,,0,0,0-8,Q
1,3,female,0-20,0,0,9-20,S
0,3,male,,0,0,0-8,Q
1,1,female,41-60,0,1,81-500,S
1,3,female,0-20,0,0,0-8,C
1,1,female,0-20,1,0,41-80,S
0,1,male,21-30,0,0,21-40,S
0,3,male,,1,2,21-40,S
0,3,male,21-30,0,0,0-8,S
0,3,male,21-30,0,0,0-8,S
1,3,female,0-20,0,0,0-8,S
0,3,male,0-20,4,1,21-40,Q
1,3,male,0-20,1,2,21-40,S
0,1,male,41-60,0,0,41-80,C
0,3,male,,0,0,0-8,Q
0,2,male,0-20,0,0,21-40,S
0,3,female,,8,2,41-80,S
0,1,male,,0,0,21-40,C
0,3,male,21-30,0,0,0-8,S
0,2,male,31-40,0,0,9-20,S
1,1,female,41-60,0,0,21-40,S
1,3,female,31-40,0,0,9-20,S
0,3,male,31-40,0,0,0-8,C
0,3,female,31-40,1,1,21-40,S
0,2,male,31-40,0,0,9-20,S
1,2,female,31-40,1,1,21-40,S
1,1,male,0-20,1,2,81-500,S
1,3,male,0-20,0,1,9-20,C
1,3,male,21-30,0,0,0-8,S
0,3,male,31-40,0,0,0-8,S
0,3,female,0-20,0,0,0-8,S
0,2,male,31-40,0,0,9-20,S
1,1,female,31-40,1,0,41-80,S
0,3,male,21-30,0,0,0-8,S
0,3,male,31-40,0,0,21-40,S
0,2,male,31-40,0,0,9-20,S
0,3,female,0-20,4,2,21-40,S
0,3,male,31-40,0,0,9-20,S
0,3,female,21-30,0,0,0-8,S
0,2,male,31-40,1,1,21-40,C
0,3,male,41-60,0,0,0-8,S
0,3,male,0-20,3,2,21-40,S
1,1,female,41-60,1,1,81-500,S
1,3,male,21-30,0,0,9-20,S
1,3,female,21-30,0,1,9-20,S
0,3,male,0-20,4,1,21-40,S
0,3,male,,0,0,0-8,Q
0,3,male,,0,0,41-80,S
1,2,male,0-20,0,2,21-40,C
1,3,male,,0,0,0-8,Q
1,1,female,61-80,0,0,81-500,S
1,3,female,0-20,1,0,9-20,C
1,2,male,0-20,1,1,9-20,S
0,3,male,,0,0,0-8,C
0,3,male,21-30,0,0,0-8,S
0,3,male,0-20,0,0,9-20,S
1,1,female,31-40,1,1,81-500,C
0,3,male,21-30,0,0,9-20,S
0,3,male,,0,0,9-20,S
1,3,male,31-40,0,0,41-80,S
1,1,male,,0,0,21-40,C
0,3,male,21-30,0,0,0-8,S
0,2,male,0-20,0,0,9-20,S
1,1,female,31-40,0,0,21-40,C
0,3,male,31-40,0,0,0-8,C
0,3,male,0-20,0,0,9-20,S
0,3,male,41-60,0,0,0-8,S
0,3,male,,8,2,41-80,S
0,3,male,31-40,0,0,0-8,C
0,2,male,21-30,0,1,21-40,S
1,1,female,,1,0,81-500,C
0,3,male,0-20,4,2,21-40,S
0,3,male,61-80,0,0,0-8,S
0,3,female,0-20,1,1,9-20,C
1,1,female,0-20,0,1,21-40,S
0,2,female,41-60,1,0,21-40,S
1,3,female,0-20,0,1,9-20,S
1,1,female,41-60,1,1,81-500,S
1,1,male,41-60,0,0,21-40,S
1,3,female,21-30,0,3,9-20,C
0,3,male,,0,0,0-8,C
0,3,male,41-60,2,0,9-20,S
0,2,male,21-30,1,0,9-20,S
1,1,female,41-60,0,0,21-40,S
0,3,female,,8,2,41-80,S
0,2,male,21-30,0,0,9-20,S
1,2,female,41-60,0,0,9-20,S
1,2,female,21-30,1,0,9-20,C
0,1,male,31-40,0,0,41-80,S
0,3,male,,0,0,9-20,S
1,3,male,0-20,1,1,9-20,S
0,3,male,21-30,0,0,0-8,S
1,1,female,41-60,1,1,41-80,S
0,1,male,31-40,0,0,0-8,S
0,3,male,41-60,0,0,9-20,S
1,2,female,21-30,1,0,21-40,C
1,3,female,0-20,0,0,0-8,C
0,3,male,21-30,0,0,9-20,S
0,3,male,0-20,0,0,0-8,S
0,3,male,,0,0,0-8,S
1,1,female,41-60,0,1,81-500,C
1,2,female,21-30,0,1,21-40,S
0,3,male,31-40,0,0,0-8,S
0,3,female,21-30,0,0,9-20,S
0,2,male,21-30,0,0,9-20,S
0,3,male,21-30,0,0,0-8,S
0,3,female,31-40,0,5,21-40,Q
0,2,male,21-30,0,0,9-20,S
1,1,female,0-20,0,0,21-40,S
0,3,female,,1,2,21-40,S
1,1,male,21-30,0,0,21-40,C
0,3,male,31-40,0,0,0-8,Q
