armed,gender,race,signs_of_mental_illness,threat_level,flee,age_range
gun,M,White,True,attack,Not fleeing,41-60
gun,F,White,True,attack,Not fleeing,41-60
flashlight,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Foot,31-40
gun,M,Hispanic,False,undetermined,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,0-20
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,31-40
shovel,M,Hispanic,True,undetermined,Not fleeing,60-100
gun,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
unknown,F,White,True,other,Not fleeing,31-40
gun,M,White,False,attack,Foot,21-30
Taser,M,White,False,attack,Not fleeing,60-100
unknown,M,White,False,undetermined,Other,41-60
knife,M,Hispanic,True,attack,Not fleeing,41-60
knife,M,White,True,other,Not fleeing,41-60
unarmed,M,Black,False,attack,Not fleeing,41-60
ax,M,White,False,other,Not fleeing,60-100
ax,F,Black,False,attack,Not fleeing,41-60
knife,M,Hispanic,True,attack,Not fleeing,21-30
knife,M,Hispanic,False,other,Not fleeing,41-60
unknown,M,White,False,attack,Not fleeing,41-60
knife,M,Black,True,other,Foot,41-60
hatchet,F,White,True,other,Not fleeing,21-30
knife,M,Black,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Foot,21-30
gun,M,Black,False,attack,Foot,0-20
gun,M,White,False,other,Car,31-40
knife,M,White,True,attack,Not fleeing,31-40
knife,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Foot,0-20
unarmed,M,White,False,other,Car,41-60
gun,M,Hispanic,False,attack,Car,31-40
unknown,M,White,False,other,Car,21-30
unknown,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,21-30
unarmed,M,White,True,attack,Not fleeing,41-60
baseball bat,M,Hispanic,False,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
unknown,M,White,False,attack,Foot,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,F,Black,False,other,Car,31-40
unarmed,M,White,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Foot,31-40
gun,M,Black,False,attack,Foot,31-40
unknown,M,Black,False,attack,Car,31-40
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,0-20
gun,M,Asian,True,attack,Not fleeing,41-60
gun,M,Black,False,attack,Other,0-20
gun,M,White,False,attack,Car,31-40
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,False,other,Not fleeing,41-60
knife,M,Hispanic,False,other,Not fleeing,41-60
knife,M,White,True,attack,Not fleeing,21-30
knife,M,White,True,attack,Not fleeing,41-60
unknown,M,Black,False,attack,Car,21-30
gun,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,0-20
gun,M,White,True,attack,Not fleeing,31-40
unknown,M,Black,False,other,Car,31-40
gun,F,White,True,attack,Not fleeing,60-100
gun,M,White,False,attack,Foot,21-30
gun,M,Black,True,attack,Not fleeing,21-30
gun,F,White,True,attack,Car,21-30
gun,M,White,False,other,Other,41-60
machete,M,Asian,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
knife,M,Black,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
unknown,M,Black,False,other,Car,21-30
knife,M,White,True,other,Not fleeing,41-60
unknown,M,White,False,attack,Car,41-60
knife,M,White,False,other,Not fleeing,41-60
knife,M,White,False,other,Foot,31-40
unknown,M,White,False,attack,Car,41-60
knife,M,Asian,False,other,Not fleeing,21-30
toy weapon,M,Black,False,attack,Not fleeing,21-30
gun,M,White,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,41-60
unknown,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Car,31-40
unknown,M,White,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Car,31-40
gun,M,Black,False,attack,Foot,31-40
gun,F,Black,False,attack,Not fleeing,21-30
gun,M,Black,True,other,Not fleeing,31-40
gun,M,White,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Other,31-40
knife,M,Other,False,other,Not fleeing,21-30
toy weapon,M,Black,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
unarmed,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,other,Foot,21-30
gun,M,White,True,attack,Other,21-30
toy weapon,M,Black,False,other,Not fleeing,31-40
knife,M,Black,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Car,31-40
unknown,M,Asian,False,other,Car,31-40
gun,M,Black,False,attack,Car,21-30
gun,M,White,True,attack,Car,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
knife,M,White,True,other,Not fleeing,0-20
gun,M,Native,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,other,Not fleeing,31-40
gun,M,White,False,attack,Foot,31-40
gun,M,Black,False,attack,Foot,21-30
ax,M,White,True,other,Not fleeing,31-40
knife,M,White,True,other,Not fleeing,41-60
gun,M,White,False,attack,Other,41-60
gun,M,Hispanic,False,attack,Not fleeing,21-30
unarmed,M,Hispanic,False,attack,Not fleeing,31-40
unarmed,F,Black,False,other,Car,21-30
knife,M,Hispanic,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,21-30
knife,M,Black,False,other,Foot,31-40
gun,M,White,False,attack,Not fleeing,60-100
unarmed,M,White,True,attack,Not fleeing,31-40
gun,M,Native,True,attack,Not fleeing,31-40
unarmed,M,Black,False,other,Car,21-30
gun,M,Hispanic,False,attack,Not fleeing,31-40
unarmed,M,Black,False,other,Car,21-30
gun,M,White,True,attack,Not fleeing,21-30
gun,M,Native,False,attack,Foot,21-30
knife,M,White,False,other,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,31-40
knife,M,White,True,other,Not fleeing,41-60
unknown,M,Black,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Foot,41-60
unknown,M,Black,False,undetermined,Foot,21-30
gun,M,Hispanic,False,attack,Car,0-20
gun,M,Hispanic,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,True,attack,Not fleeing,21-30
knife,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,White,False,other,Car,31-40
gun,M,White,False,attack,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,31-40
knife,M,White,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Foot,21-30
gun,M,White,False,attack,Foot,41-60
knife,M,Black,True,other,Not fleeing,41-60
gun,M,Black,False,other,Not fleeing,0-20
knife,M,White,False,other,Not fleeing,31-40
knife,M,Native,False,other,Not fleeing,31-40
unknown,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Other,31-40
knife,M,White,True,other,Not fleeing,31-40
gun,M,White,False,other,Car,31-40
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,Other,False,other,Not fleeing,21-30
unarmed,M,White,False,other,Car,21-30
vehicle,M,Hispanic,False,other,Not fleeing,21-30
gun,M,Black,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Car,31-40
gun,M,White,False,attack,Other,31-40
gun,M,Black,False,other,Foot,41-60
gun,M,White,True,attack,Not fleeing,60-100
baseball bat,M,White,False,other,Not fleeing,21-30
gun,M,Hispanic,False,attack,Foot,31-40
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Car,21-30
spear,M,Hispanic,False,other,Not fleeing,31-40
gun,M,Other,True,attack,Not fleeing,21-30
knife,M,White,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Car,60-100
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,0-20
gun,M,Hispanic,False,attack,Car,60-100
unknown,M,White,False,undetermined,Car,41-60
unknown,M,Hispanic,False,other,Car,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Other,False,attack,Not fleeing,41-60
unknown,M,Hispanic,False,attack,Not fleeing,21-30
unknown,M,White,False,attack,Car,41-60
gun,M,White,True,attack,Car,31-40
gun,M,White,False,attack,Not fleeing,31-40
unknown,M,Hispanic,False,attack,Car,31-40
gun,M,White,True,other,Not fleeing,41-60
gun,M,Hispanic,False,attack,Car,21-30
toy weapon,M,White,False,attack,Not fleeing,31-40
unknown,M,White,False,other,Car,0-20
unarmed,M,Black,False,attack,Foot,31-40
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,White,False,other,Not fleeing,21-30
toy weapon,M,White,True,attack,Car,0-20
gun,M,White,True,attack,Not fleeing,41-60
chair,M,Hispanic,True,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,21-30
unknown,M,Black,False,attack,Car,21-30
knife,M,White,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Foot,41-60
unarmed,M,Black,False,undetermined,Other,21-30
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Foot,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,F,White,True,attack,Not fleeing,41-60
gun,M,Hispanic,True,other,Other,41-60
gun,M,Hispanic,False,attack,Not fleeing,21-30
unarmed,M,White,True,other,Car,0-20
gun,M,White,False,attack,Not fleeing,41-60
unarmed,M,Hispanic,False,attack,Other,31-40
baseball bat,M,White,True,attack,Not fleeing,41-60
knife,M,Hispanic,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Foot,21-30
gun,M,Black,False,attack,Not fleeing,31-40
toy weapon,M,White,True,attack,Not fleeing,21-30
toy weapon,M,Black,True,attack,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,21-30
toy weapon,M,White,False,other,Car,21-30
knife,M,Asian,False,other,Foot,21-30
knife,M,Asian,False,attack,Not fleeing,60-100
unknown,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,31-40
pitchfork,M,White,True,other,Not fleeing,41-60
gun,M,Black,False,undetermined,Other,21-30
gun,M,White,False,attack,Not fleeing,21-30
unknown,M,Hispanic,False,undetermined,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
knife,M,White,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,other,Car,31-40
gun,M,White,False,attack,Not fleeing,41-60
knife,M,White,True,other,Not fleeing,41-60
unknown,M,Hispanic,False,other,Car,31-40
unknown,M,Hispanic,False,other,Car,0-20
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,True,other,Not fleeing,0-20
gun,M,Black,False,attack,Not fleeing,21-30
unknown,M,White,False,undetermined,Other,21-30
unknown,M,White,False,other,Car,41-60
knife,F,Hispanic,False,other,Not fleeing,21-30
unknown,M,Black,False,undetermined,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,60-100
knife,M,Hispanic,False,other,Not fleeing,31-40
unknown,M,White,False,other,Car,31-40
gun,M,Black,False,attack,Not fleeing,60-100
knife,M,White,True,other,Not fleeing,31-40
gun,M,Black,False,attack,Car,41-60
gun,M,Black,False,other,Not fleeing,31-40
knife,M,Black,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Not fleeing,41-60
hatchet,M,White,True,attack,Not fleeing,21-30
gun,M,White,False,undetermined,Foot,31-40
toy weapon,M,White,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,60-100
gun,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,other,Foot,41-60
gun,M,White,False,attack,Other,21-30
gun,M,White,False,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Black,True,attack,Not fleeing,21-30
screwdriver,M,White,False,attack,Not fleeing,41-60
ax,M,White,True,other,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Other,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Other,41-60
knife,M,Black,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
gun,M,Hispanic,False,attack,Not fleeing,31-40
hatchet and gun,M,White,True,attack,Not fleeing,31-40
knife,M,Native,True,other,Not fleeing,21-30
gun,M,Black,False,attack,Car,31-40
gun,M,Black,False,attack,Foot,0-20
gun,M,White,False,attack,Car,41-60
gun,M,Hispanic,False,other,Other,31-40
gun,M,Black,False,attack,Foot,0-20
unarmed,M,Black,True,attack,Foot,0-20
knife,M,White,False,other,Foot,21-30
knife,M,Hispanic,True,other,Not fleeing,21-30
knife,M,White,False,attack,Not fleeing,21-30
knife,M,White,False,other,Foot,31-40
unknown,M,Hispanic,False,undetermined,Not fleeing,41-60
unknown,M,Black,False,other,Car,41-60
unknown,M,Black,False,other,Car,0-20
gun,M,Hispanic,False,attack,Other,31-40
unarmed,M,Black,False,attack,Other,21-30
unknown,M,Hispanic,False,other,Car,31-40
gun,F,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
rock,M,White,False,attack,Foot,31-40
unknown,M,Hispanic,False,undetermined,Not fleeing,31-40
knife,M,Asian,True,other,Not fleeing,0-20
gun,F,Black,False,attack,Not fleeing,21-30
unknown,M,White,False,attack,Car,41-60
gun,M,White,False,attack,Not fleeing,60-100
unknown,M,White,True,attack,Not fleeing,31-40
gun,M,White,False,attack,Car,21-30
knife,M,White,False,other,Not fleeing,31-40
gun,M,Black,True,attack,Not fleeing,41-60
gun,M,White,True,attack,Car,31-40
unknown,M,White,False,other,Foot,41-60
gun,M,White,False,attack,Foot,31-40
knife,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,other,Car,60-100
knife,M,White,True,other,Not fleeing,41-60
gun,M,Black,True,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,41-60
knife,M,Black,True,attack,Not fleeing,21-30
knife,M,Black,True,other,Not fleeing,21-30
knife,M,Black,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,60-100
gun,M,Hispanic,False,attack,Other,31-40
gun,M,White,True,attack,Not fleeing,60-100
gun,M,White,True,other,Not fleeing,41-60
gun,M,Hispanic,False,attack,Foot,0-20
unknown,M,White,False,other,Not fleeing,41-60
gun,M,White,True,attack,Not fleeing,41-60
knife,M,Hispanic,False,undetermined,Other,31-40
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,Hispanic,False,other,Car,21-30
hammer,M,White,True,other,Not fleeing,41-60
gun,M,Black,False,other,Foot,21-30
knife,M,Hispanic,True,attack,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
unknown,M,Hispanic,False,other,Car,31-40
metal pole,M,Hispanic,True,other,Not fleeing,21-30
gun,M,White,False,attack,Other,41-60
gun,M,White,False,other,Car,31-40
gun,M,White,False,attack,Foot,31-40
toy weapon,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,other,Foot,31-40
unarmed,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Black,False,other,Foot,0-20
gun,M,White,False,other,Not fleeing,41-60
piece of wood,M,Black,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Car,31-40
unarmed,M,White,False,other,Car,21-30
knife,M,White,False,other,Not fleeing,41-60
unknown,M,White,False,other,Car,31-40
gun,M,White,False,attack,Car,31-40
gun,M,White,False,other,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,41-60
bayonet,M,Hispanic,True,undetermined,Not fleeing,41-60
gun,M,Hispanic,False,attack,Not fleeing,21-30
toy weapon,M,White,True,attack,Not fleeing,31-40
unknown,M,White,False,undetermined,Car,21-30
knife,M,White,False,other,Not fleeing,41-60
knife,M,Hispanic,False,other,Not fleeing,60-100
knife,M,Hispanic,False,other,Not fleeing,31-40
knife,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,other,Car,41-60
gun,M,Hispanic,False,attack,Foot,31-40
gun,M,White,True,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
unknown,M,Hispanic,False,undetermined,Not fleeing,31-40
gun,M,White,False,attack,Foot,41-60
toy weapon,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,60-100
gun,M,White,True,attack,Not fleeing,31-40
gun,M,Black,False,attack,Foot,21-30
gun,F,White,False,attack,Not fleeing,31-40
knife,M,White,False,attack,Not fleeing,41-60
unarmed,M,Black,False,other,Not fleeing,21-30
gun,M,White,False,attack,Other,41-60
knife,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Foot,21-30
unknown,M,White,False,other,Car,31-40
unknown,M,White,True,other,Not fleeing,60-100
gun,M,White,False,other,Car,0-20
gun,M,Hispanic,False,other,Foot,21-30
pipe,M,Hispanic,False,other,Not fleeing,31-40
gun,M,Hispanic,False,attack,Foot,31-40
glass shard,M,White,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Other,31-40
unknown,M,Black,False,undetermined,Foot,21-30
unknown,M,White,False,undetermined,Not fleeing,21-30
gun,M,White,False,undetermined,Other,31-40
knife,M,Hispanic,True,other,Not fleeing,31-40
knife,M,Hispanic,True,other,Not fleeing,41-60
gun,M,Black,False,attack,Car,31-40
gun,M,Hispanic,False,other,Not fleeing,31-40
vehicle,M,White,False,other,Other,21-30
gun,M,Hispanic,False,attack,Car,31-40
gun,M,White,False,other,Not fleeing,60-100
sword,M,White,True,attack,Not fleeing,21-30
knife,M,Black,False,attack,Not fleeing,41-60
unknown,M,White,False,undetermined,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
toy weapon,M,Hispanic,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Not fleeing,31-40
unknown,M,White,True,other,Not fleeing,60-100
knife,M,Black,False,other,Not fleeing,41-60
toy weapon,M,White,True,other,Not fleeing,60-100
gun,M,White,False,attack,Not fleeing,31-40
motorcycle,M,Black,False,attack,Other,31-40
knife,M,Black,False,attack,Not fleeing,21-30
unarmed,M,Hispanic,False,other,Car,21-30
toy weapon,M,Black,False,other,Foot,0-20
gun,M,Hispanic,False,other,Other,31-40
gun,M,White,True,other,Not fleeing,60-100
gun,M,White,False,attack,Foot,31-40
unarmed,M,Native,False,other,Foot,21-30
knife,M,White,False,attack,Not fleeing,21-30
unarmed,M,Black,False,other,Not fleeing,41-60
hatchet,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Foot,21-30
toy weapon,M,White,False,attack,Other,41-60
gun,M,White,True,attack,Not fleeing,41-60
knife,M,Other,False,attack,Not fleeing,21-30
gun,M,Black,False,other,Not fleeing,60-100
gun,F,White,True,attack,Not fleeing,41-60
unknown,M,White,True,other,Not fleeing,31-40
gun,M,White,True,attack,Not fleeing,41-60
gun,M,White,False,other,Car,31-40
gun,M,White,True,attack,Not fleeing,21-30
unknown,M,White,False,other,Not fleeing,21-30
gun,M,Black,False,other,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,other,Foot,41-60
unarmed,M,White,False,other,Not fleeing,21-30
unknown,M,White,False,attack,Foot,41-60
unknown,M,Black,False,other,Not fleeing,31-40
gun,M,Hispanic,False,other,Foot,31-40
gun,M,White,True,other,Not fleeing,21-30
gun,M,White,False,attack,Other,41-60
gun,M,White,True,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,True,other,Not fleeing,41-60
unarmed,M,Black,True,attack,Not fleeing,31-40
unknown,M,White,False,other,Car,21-30
unarmed,M,Black,False,attack,Not fleeing,31-40
knife,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,False,undetermined,Not fleeing,31-40
unknown,M,Black,False,undetermined,Not fleeing,0-20
gun,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Other,31-40
unknown,M,Black,False,undetermined,Not fleeing,0-20
gun,M,Black,False,other,Foot,21-30
gun,M,White,False,attack,Foot,21-30
gun,M,Black,False,undetermined,Foot,0-20
toy weapon,M,Hispanic,True,attack,Not fleeing,0-20
unknown,M,Black,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,other,Not fleeing,41-60
brick,M,Hispanic,False,attack,Foot,31-40
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,True,other,Not fleeing,41-60
machete,M,White,True,other,Not fleeing,21-30
gun,M,White,False,attack,Car,31-40
pepper spray,M,Black,False,other,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,31-40
toy weapon,M,White,False,other,Not fleeing,41-60
knife,M,Hispanic,True,other,Not fleeing,21-30
knife,F,White,False,attack,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,60-100
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,White,True,other,Car,41-60
unknown,M,Hispanic,True,other,Not fleeing,21-30
gun,M,Native,False,other,Other,0-20
unknown,M,White,False,other,Car,21-30
knife,M,Asian,False,other,Not fleeing,41-60
knife,M,White,False,other,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,White,False,attack,Not fleeing,21-30
gun,M,White,False,other,Not fleeing,31-40
knife,M,White,True,other,Other,41-60
baseball bat,M,White,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,True,attack,Not fleeing,21-30
toy weapon,F,White,True,attack,Not fleeing,21-30
metal rake,M,White,True,attack,Not fleeing,31-40
sword,M,Hispanic,True,other,Not fleeing,41-60
gun,M,White,True,attack,Foot,0-20
knife,M,White,True,other,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
baseball bat,F,Black,True,attack,Not fleeing,60-100
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
unknown,M,White,False,undetermined,Car,31-40
unknown,M,Hispanic,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,21-30
gun,F,Native,True,other,Not fleeing,21-30
knife,M,White,False,other,Other,41-60
unknown,M,White,True,other,Not fleeing,21-30
toy weapon,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Car,0-20
toy weapon,M,Black,False,other,Not fleeing,41-60
toy weapon,M,White,True,attack,Not fleeing,21-30
toy weapon,F,White,False,attack,Not fleeing,21-30
knife,M,White,True,other,Not fleeing,31-40
gun,M,Black,False,other,Not fleeing,21-30
unarmed,M,White,False,attack,Not fleeing,31-40
gun,M,White,True,other,Not fleeing,31-40
gun and knife,M,Black,False,other,Not fleeing,31-40
unknown,M,Hispanic,False,attack,Foot,21-30
gun,M,White,False,attack,Other,31-40
gun,M,Black,True,attack,Not fleeing,31-40
knife,M,Asian,True,attack,Not fleeing,41-60
knife,M,Black,True,other,Not fleeing,31-40
unknown,M,White,False,other,Car,31-40
gun,M,Hispanic,False,attack,Not fleeing,21-30
vehicle,F,Black,True,attack,Car,31-40
knife,M,Hispanic,False,attack,Not fleeing,41-60
gun,F,White,False,attack,Other,31-40
gun,M,White,False,other,Not fleeing,60-100
gun,M,White,True,attack,Not fleeing,41-60
unknown,M,White,False,undetermined,Other,41-60
gun,M,Black,False,attack,Not fleeing,21-30
unknown,M,Hispanic,False,undetermined,Not fleeing,21-30
gun,M,Hispanic,True,attack,Other,31-40
knife,M,White,True,other,Not fleeing,41-60
unknown,M,White,False,other,Car,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,White,False,other,Other,31-40
gun,M,White,True,attack,Not fleeing,41-60
metal pipe,M,White,False,other,Foot,31-40
unknown,M,White,False,other,Car,0-20
hammer,M,White,True,other,Not fleeing,31-40
unknown,M,Hispanic,False,undetermined,Not fleeing,31-40
unknown,M,White,False,undetermined,Car,41-60
gun,M,Black,False,attack,Other,31-40
gun,M,Hispanic,False,attack,Other,21-30
unknown,M,White,False,attack,Car,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
unarmed,M,White,False,attack,Car,0-20
gun,M,White,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,undetermined,Other,41-60
gun,M,White,False,attack,Not fleeing,41-60
unknown,M,White,False,attack,Car,21-30
gun,M,Hispanic,False,attack,Other,31-40
unarmed,M,Black,False,attack,Foot,31-40
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Hispanic,False,attack,Car,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,Hispanic,False,attack,Not fleeing,21-30
unknown,M,Black,False,other,Car,21-30
gun,M,White,False,attack,Not fleeing,31-40
machete,M,Hispanic,False,other,Not fleeing,31-40
gun,M,White,False,other,Not fleeing,41-60
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,21-30
gun,M,White,True,other,Not fleeing,31-40
machete,M,Black,True,other,Not fleeing,21-30
unknown,M,Hispanic,False,attack,Foot,21-30
baton,M,Black,True,attack,Not fleeing,21-30
knife,M,Asian,False,other,Foot,0-20
gun,M,Hispanic,False,attack,Not fleeing,21-30
gun,M,White,False,other,Foot,0-20
gun,M,Black,False,attack,Foot,0-20
knife,M,White,True,other,Foot,21-30
gun,M,Hispanic,False,attack,Not fleeing,41-60
gun,M,Black,False,other,Car,31-40
unknown,M,Black,False,undetermined,Not fleeing,31-40
gun,M,Black,False,attack,Not fleeing,21-30
knife,M,White,False,other,Not fleeing,41-60
unknown,M,Black,False,undetermined,Foot,0-20
gun,M,Black,False,attack,Other,31-40
gun,M,Black,False,attack,Other,21-30
unarmed,M,Hispanic,False,other,Not fleeing,21-30
unknown,M,Hispanic,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
gun,M,Black,False,attack,Foot,31-40
gun,M,Black,False,attack,Not fleeing,41-60
blunt object,M,White,False,attack,Not fleeing,41-60
knife,M,Other,False,attack,Not fleeing,0-20
gun,M,Hispanic,False,undetermined,Foot,21-30
unknown,M,Black,False,other,Car,41-60
gun,M,White,False,other,Not fleeing,41-60
rock,M,White,False,other,Car,41-60
knife,M,White,True,other,Not fleeing,21-30
unknown,M,White,False,other,Foot,31-40
gun,M,Black,False,other,Not fleeing,21-30
gun,M,Black,False,attack,Not fleeing,31-40
gun,M,Hispanic,False,attack,Other,31-40
gun,M,White,False,attack,Not fleeing,60-100
crowbar,M,White,False,other,Not fleeing,21-30
gun,M,White,False,attack,Not fleeing,31-40
unknown,M,White,True,undetermined,Not fleeing,31-40
unknown,M,Asian,False,other,Foot,21-30
gun,M,Black,False,attack,Car,21-30
gun,M,White,False,attack,Not fleeing,41-60
